description,Order,cap1,by1,cap2,by2,cap3,by3
Style,0,Raina ruffled-tulle mini dress,By Alexis,,,,
Style,1,,,,,,
Style,2,,,,,,
Style,3,Satin Dress,By Reformation,,,,
Style,4,Gingham Shirt Dress,by Mansur Gavriel,,,,
Style,5,,By FAITHFULL THE BRAND,,,,
Style,6,,,,,,
Style,7,,,,,,
Style,8,Cocoon Coat,By Isabel Marant,Leather Gloves,By Coach,Leather Pump,By Michael Kors
Style,9,Button-embellished denim mini dress,By Balmain on Net-a-porter,Twiggy Mod 60’s Pearl Ball Earrings,By Steve Sasco,Yaro Block Heel Sandal,By Sam Edelman
Style,10,,,Flared Denim,By NOBODY DENIM,Cortez Sneaker,By Nike
Style,11,Bohemian Dress,By Free People,,,,
Style,12,Big Shoulder Blazer,By RE/DONE,striped wool high-rise pants,By Isabel Marant,Beret Hat,By MAISON MICHEL
Style,13,Oversize Blouse,By COS,Wide Leg Pants,By Lafayette 148 New York,logo western buckle belt,By SAINT LAURENT
Style,14,Leather Jacket ,By Mango,Corduroy Button-Front Mini Skirt,By Urban Outfitter,Wide Belt,By ALEXANDER MCQUEEN
Style,15,Slip Dress ,By Banana Republic,,,,
Style,16,,,,,,
Style,17,Black Tank Top,By HM,Monogram Belt,By Gucci ,Slides,By Steven
Style,18,Turtleneck Top,By AGOLDE,Sweat Pants,By Adidas,Leather Slippers,By Steve Madden
Style,19,Oversize Coat,By MaxMara,Oversize sweater Dress,By Aritzia ,Over-The-Knee Boots,By Stuart Weitzman
